商品编码,商品名称,SKUID,SKU属性,京东价,京东分类,品牌,链接,商品货号,商家SKU,库存,商品状态
10139754701,东兴馆 天然沉香佛珠手串  天然马来西亚原料 男女款DIY念珠手串,10716874014,西马入门级10mm 15颗深蓝色琉璃,159,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10716874014.html,"	","	",100,上架
10139754701,东兴馆 天然沉香佛珠手串  天然马来西亚原料 男女款DIY念珠手串,10716874015,西马老料12mm 15颗,599,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10716874015.html,"	","	",100,上架
10141254742,东兴馆 沉香佛珠手串 12mm 14颗 天然文莱沉香老料 男女款DIY念珠手串,10729177062, ,2899,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10729177062.html,"	","	",1000,上架
10141971915,东兴馆 沉香手链 108颗 苹果珠 天然西马入门级念珠手串 沉香手串,10734596065, ,332,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10734596065.html,"	","	",10000,上架
10141974659,东兴馆 沉香手链 6mm 108颗 天然巴布亚老料念珠手串  沉香手串,10734620498, ,799,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10734620498.html,"	","	",10000,上架
10141982311,东兴馆 沉香手链 108颗 天然西马入门级念珠情侣手串  沉香手串,10734668765,108颗圆珠中国结,259,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10734668765.html,"	","	",5000,上架
10141982311,东兴馆 沉香手链 108颗 天然西马入门级念珠情侣手串  沉香手串,10734668766,108颗圆珠凤尾金刚结,259,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10734668766.html,"	","	",4999,上架
10141985879,东兴馆 广西百香果 10个装 西潘莲鸡蛋果  新鲜采摘 包邮到家 新鲜水果,10737443966,10个装 约0.75kg,25,生鲜 > 水果 > 更多水果,水果蔬菜,http://item.jd.com/10737443966.html,"	","	",4949,自主下架
10141985879,东兴馆 广西百香果 10个装 西潘莲鸡蛋果  新鲜采摘 包邮到家 新鲜水果,10737443967,20个装 约1.5kg,36,生鲜 > 水果 > 更多水果,水果蔬菜,http://item.jd.com/10737443967.html,"	","	",4978,自主下架
10143007939,东兴馆 沉香手链 16mm 14颗 天然西马沉香木佛珠手串 男,10742217151,12.61g,299,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10742217151.html,"	","	",5000,上架
10143007939,东兴馆 沉香手链 16mm 14颗 天然西马沉香木佛珠手串 男,10742217152,13.41g,499,珠宝首饰 > 木手串/把件 > 沉香木,东起,http://item.jd.com/10742217152.html,"	","	",5000,上架
10143539096,东兴馆 广西小青柠檬 1.5kg 单果约35~40g 国产新鲜柠檬果 果园直供 新鲜到家,10746763732, ,29,生鲜 > 水果 > 柠檬,水果蔬菜,http://item.jd.com/10746763732.html,"	","	",9993,自主下架
10146210323,东兴馆 广西红芽小芋头 3斤装 农家种植香芋头 粉糯香绵 广西芋头,10771623768,3斤装,20,生鲜 > 蔬菜 > 根茎类,水果蔬菜,http://item.jd.com/10771623768.html,"	","	",9984,自主下架
10146210323,东兴馆 广西红芽小芋头 3斤装 农家种植香芋头 粉糯香绵 广西芋头,10771623769,5斤装,30,生鲜 > 蔬菜 > 根茎类,水果蔬菜,http://item.jd.com/10771623769.html,"	","	",9977,自主下架
10161470465,东起 天然芽庄沉香线香 熏香线香 盘香 红木礼盒 香薰礼盒卧室香薰,10894537530,10克沉香线香,208,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10894537530.html,"	","	",9357,上架
10161470465,东起 天然芽庄沉香线香 熏香线香 盘香 红木礼盒 香薰礼盒卧室香薰,10894537531,20克沉香线香,328,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/10894537531.html,"	","	",9984,上架
10130969754,东兴馆 红木纸巾盒 龙凤素面抽纸盒120 抽 复古实木收纳盒 个性定制餐巾盒,10898213918,素面双喜镂空款,49,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10898213918.html,"	","	",994,上架
10130969754,东兴馆 红木纸巾盒 龙凤素面抽纸盒120 抽 复古实木收纳盒 个性定制餐巾盒,10898213919,方形会议迷你款,39,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10898213919.html,"	","	",993,上架
10130969754,东兴馆 红木纸巾盒 龙凤素面抽纸盒120 抽 复古实木收纳盒 个性定制餐巾盒,10898213920,贝花木雕镂空仿古锁扣,55,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/10898213920.html,"	","	",1000,上架
10181575647,东起 东兴馆 水沉香盘香 48单盘 佛香熏香道 室内专用香薰 沉香盘香,11052458640, ,49,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/11052458640.html,"	","	",999,上架
